principal component 1,principal component 2,principal component 3,cancer_type
-10.726725690565601,31.008676470766847,-106.13724733720795,LUAD
-10.01381487296438,37.05954158619616,-119.42716933762203,LUAD
-5.003713823401898,43.186314568466194,-71.91626828719969,LUAD
4.991830188483457,10.224415710001148,-53.26245243080135,LUAD
-9.636842425007236,27.66600928756116,-73.06606432964418,LUAD
-29.12530925686579,44.25502123549986,-59.79363947207466,LUAD
-8.113978142841134,64.04927600323246,-39.95243201427447,LUAD
-13.486618545721816,61.28706924522253,-69.102515303695,LUAD
-18.22496505318262,39.044046967812854,-72.46375828691303,LUAD
-22.002143824887497,66.3445194152973,-39.937402608230414,LUAD
-36.025998353569044,27.59486440787342,-53.44707884991888,LUAD
-23.436820974534506,67.32327217605079,-52.96093294544009,LUAD
-16.367336174908704,44.14876011144757,-80.19200772950839,LUAD
